name,username,department
Sol Mansi,solm,IT infrastructure
Lio Nelson,lion,User Experience Research
Charlie Grey,greyc,Development
Audrey Miller,audrey,Development
Arden Garcia,adeng,Sales
Bailey Thomas,baileytm,Human Resources
Blake Sousa,sousa,IT infrastructure
Cameron Nguyen,nguyen,Marketing
Chris Black,chrisb,User Experience Research
Courtney Silva,silva,IT infrastructure
Darcy Johnson,darcy,IT infrastructure
Elliot Lamb,elliotl,Development
Emery Halls,halls,Sales
Flynn McMillan,flynn,Marketing
Harley Klose,harley,Human Resources
Jean May Coy,jeanm,Vendor operations
Kay Stevens,kstev,Sales
Logan Tillas,tillas,Vendor operations
Micah Lopes,micah,Development
